time,close,MACD_short,MACD_long,MACD,MACD_signal,MACD_sign,DPR,buying_,buying_profit
2021-04-11,77688000.0,75343535.02373601,70885374.93325171,4458160.090484306,4205717.358872552,매수,0.9894795832590366,True,0.9894795832590366
2021-04-12,78106000.0,75896028.01906085,71420444.58829542,4475583.430765435,4259690.573258165,매수,1.0053804963443518,True,1.0053804963443518
2021-04-13,80374000.0,76791622.41534208,72083910.34130064,4707712.074041441,4349294.873424166,매수,1.0290374619107368,True,1.0290374619107368
2021-04-14,80420000.0,77517297.93233421,72701604.86107084,4815693.071263373,4442574.51299979,매수,1.0005723243835072,True,1.0005723243835072
2021-04-15,78865000.0,77786838.34588537,73158293.94398028,4628544.40190509,4479768.490783333,매수,0.9806640139268838,True,0.9806640139268838
2021-04-16,79623000.0,78154070.6767279,73637298.2804886,4516772.3962393105,4487169.271874923,매수,1.0096113611868383,True,1.0096113611868383
2021-04-17,77857000.0,78094656.5413798,73949951.7100814,4144704.831298396,4418676.383756692,매도,0.977820479007322,True,0.977820479007322
2021-04-18,73216000.0,77118925.2330705,73895571.56079146,3223353.67227903,4179611.8414529893,매도,0.9403907163132409,False,1.0
2021-04-19,72872000.0,76269540.18643318,73819734.1989594,2449805.987473786,3833650.67064769,매도,0.9953015734265734,False,1.0
2021-04-20,69680000.0,74951632.14911772,73513022.63843311,1438609.5106846094,3354642.438644597,매도,0.9561971676364036,False,1.0
2021-04-21,70300000.0,74021305.7192779,73274974.5497733,746331.1695045978,2832980.1848074687,매도,1.0088978185993112,False,1.0
2021-04-22,66012000.0,72419444.5753999,72736879.29487494,-317434.7194750309,2202897.2039421485,매도,0.9390042674253201,False,1.0
2021-04-23,57466000.0,69428755.66028643,71605513.93906349,-2176758.278777063,1326966.107388497,매도,0.8705386899351633,False,1.0
2021-04-24,59252000.0,67393404.52821091,70690297.18270805,-3296892.6544971466,402194.3550030836,매도,1.0310792468590122,False,1.0
2021-04-25,61049000.0,66124523.62255964,69976024.66060527,-3851501.03804563,-448544.7236127564,매도,1.0303280901910483,False,1.0
2021-04-26,62852000.0,65470018.89804396,69448249.09865591,-3978230.200611949,-1154481.8190166424,매도,1.0295336532948942,False,1.0
2021-04-27,64293000.0,65234615.11843408,69066331.87161033,-3831716.7531762496,-1689928.80585102,매도,1.0229268758352956,False,1.0
2021-04-28,63239000.0,64835492.09474581,68634628.54750629,-3799136.4527604803,-2111770.3352344604,매도,0.9836063023968394,False,1.0
2021-04-29,63299000.0,64528193.67579575,68239355.16708693,-3711161.4912911803,-2431648.5664467434,매도,1.0009487816062872,False,1.0
2021-04-30,66423000.0,64907154.940637484,68104797.2161224,-3197642.2754849195,-2584847.3082547383,매도,1.0493530703486627,False,1.0
2021-05-01,68695000.0,65664723.95251141,68148519.88935545,-2483795.9368440434,-2564637.0339725614,매수,1.0342050193457086,False,1.0
2021-05-02,68403000.0,66212379.16200994,68167371.84429194,-1954992.6822820008,-2442708.163634266,매수,0.9957493267341145,True,0.9957493267341145
2021-05-03,69713000.0,66912503.3296088,68281871.68387485,-1369368.3542660475,-2228040.201760364,매수,1.0191512068184143,True,1.0191512068184143
2021-05-04,68474000.0,67224802.66368733,68296104.43133089,-1071301.767643556,-1996692.51493678,매수,0.9822271312380761,True,0.9822271312380761
2021-05-05,68719000.0,67523642.13095011,68327432.10850929,-803789.9775591791,-1758112.0074610766,매수,1.0035780004089143,True,1.0035780004089143
2021-05-06,68823000.0,67783513.70476024,68364143.09754373,-580629.3927834928,-1522615.4845254146,매수,1.0015134096829115,True,1.0015134096829115
2021-05-07,67839000.0,67794610.9638082,68325241.39496909,-530630.431160897,-1324218.4738524135,매수,0.985702454121442,True,0.985702454121442
2021-05-08,70227000.0,68281088.77104674,68466119.82616526,-185031.0551185161,-1096380.9901055442,매수,1.0352009905806394,True,1.0352009905806394
2021-05-09,70670000.0,68758871.01683754,68629378.17487375,129492.8419637829,-851206.2236916015,매수,1.0063081151124211,True,1.0063081151124211
2021-05-10,70858000.0,69178696.81347014,68794468.73123112,384228.0822390169,-604119.3625054157,매수,1.0026602518749115,True,1.0026602518749115
2021-05-11,68476000.0,69038157.45077609,68770877.46802072,267279.982755363,-429839.49345322483,매수,0.9663834711676875,True,0.9663834711676875
2021-05-12,68757000.0,68981925.96062087,68769849.4676106,212076.49301026762,-301456.2961605057,매수,1.0041036275483382,True,1.0041036275483382
2021-05-13,63068000.0,67799140.76849654,68347475.10038827,-548334.3318917304,-350831.90330675704,매도,0.9172593335951249,True,0.9172593335951249
2021-05-14,62030000.0,66645312.614797115,67879498.44220088,-1234185.827403769,-527502.6881261775,매도,0.9835415741739075,False,1.0
2021-05-15,60660000.0,65448250.09183759,67344704.33687,-1896454.2450324073,-801292.9995074461,매도,0.9779139126229244,False,1.0
2021-05-16,59335000.0,64225600.07346998,66751376.01316029,-2525775.939690307,-1146189.587544041,매도,0.9781569403231124,False,1.0
2021-05-17,53803000.0,62141080.058775865,65792211.765647545,-3651131.706871681,-1647178.0114095951,매도,0.9067666638577568,False,1.0
2021-05-18,53675000.0,60447864.04702061,64894618.61582137,-4446754.568800762,-2207093.322887852,매도,0.9976209505046187,False,1.0
2021-05-19,48498000.0,58057891.237616405,63680026.8247948,-5622135.587178394,-2890101.7757459832,매도,0.903549138332557,False,1.0
2021-05-20,51561000.0,56758512.99009309,62782302.34880547,-6023789.358712383,-3516839.2923392802,매도,1.0631572435976742,False,1.0
2021-05-21,48603000.0,55127410.392074436,61731963.305571675,-6604552.913497239,-4134382.0165708857,매도,0.9426310583580614,False,1.0
2021-05-22,46887000.0,53479328.31365952,60632316.66619262,-7152988.352533102,-4738103.283763339,매도,0.9646935374359608,False,1.0
2021-05-23,42198000.0,51223062.65092758,59266789.04480144,-8043726.3938738555,-5399227.905785451,매도,0.8999936016379807,False,1.0
2021-05-24,45312000.0,50040850.12074205,58233085.06820419,-8192234.947462134,-5957829.314120793,매도,1.0737949665860942,False,1.0
2021-05-25,46080000.0,49248680.09659363,57332843.72385466,-8084163.627261028,-6383096.176748844,매도,1.0169491525423728,False,1.0
2021-05-26,47741000.0,48947144.0772749,56622327.412076965,-7675183.334802061,-6641513.608359489,매도,1.0360460069444444,False,1.0
